Year,Month,MonthStartDate,MonthlyRevenue,PrevMonthRevenue,MoM_Change,MoM_GrowthPct
2024,1,2024-01-01,133144.20,NULL,NULL,NULL
2024,2,2024-02-01,116976.60,133144.20,-16167.60,-12.14
2024,3,2024-03-01,117064.80,116976.60,88.20,0.08
2024,4,2024-04-01,117122.40,117064.80,57.60,0.05
2024,5,2024-05-01,124176.60,117122.40,7054.20,6.02
2024,6,2024-06-01,106228.80,124176.60,-17947.80,-14.45
2024,7,2024-07-01,138868.20,106228.80,32639.40,30.73
2024,8,2024-08-01,132188.40,138868.20,-6679.80,-4.81
2024,9,2024-09-01,116672.40,132188.40,-15516.00,-11.74
2024,10,2024-10-01,132436.80,116672.40,15764.40,13.51
2024,11,2024-11-01,122072.40,132436.80,-10364.40,-7.83
2024,12,2024-12-01,128496.60,122072.40,6424.20,5.26
2025,1,2025-01-01,249610.60,128496.60,121114.00,94.25
2025,2,2025-02-01,126981.00,249610.60,-122629.60,-49.13
2025,3,2025-03-01,121159.80,126981.00,-5821.20,-4.58
2025,4,2025-04-01,131853.60,121159.80,10693.80,8.83
2025,5,2025-05-01,132753.60,131853.60,900.00,0.68
2025,6,2025-06-01,114746.40,132753.60,-18007.20,-13.56
2025,7,2025-07-01,131232.60,114746.40,16486.20,14.37
2025,8,2025-08-01,128957.40,131232.60,-2275.20,-1.73
2025,9,2025-09-01,132665.40,128957.40,3708.00,2.88
2025,10,2025-10-01,130451.40,132665.40,-2214.00,-1.67
2025,11,2025-11-01,119777.40,130451.40,-10674.00,-8.18
2025,12,2025-12-01,129648.60,119777.40,9871.20,8.24
