Year,Month,MonthStartDate,MonthlyRevenue,PrevYearSameMonthRevenue,YoY_Change,YoY_GrowthPct
2024,1,2024-01-01,133144.20,NULL,NULL,NULL
2024,2,2024-02-01,116976.60,NULL,NULL,NULL
2024,3,2024-03-01,117064.80,NULL,NULL,NULL
2024,4,2024-04-01,117122.40,NULL,NULL,NULL
2024,5,2024-05-01,124176.60,NULL,NULL,NULL
2024,6,2024-06-01,106228.80,NULL,NULL,NULL
2024,7,2024-07-01,138868.20,NULL,NULL,NULL
2024,8,2024-08-01,132188.40,NULL,NULL,NULL
2024,9,2024-09-01,116672.40,NULL,NULL,NULL
2024,10,2024-10-01,132436.80,NULL,NULL,NULL
2024,11,2024-11-01,122072.40,NULL,NULL,NULL
2024,12,2024-12-01,128496.60,NULL,NULL,NULL
2025,1,2025-01-01,249610.60,133144.20,116466.40,87.47
2025,2,2025-02-01,126981.00,116976.60,10004.40,8.55
2025,3,2025-03-01,121159.80,117064.80,4095.00,3.50
2025,4,2025-04-01,131853.60,117122.40,14731.20,12.58
2025,5,2025-05-01,132753.60,124176.60,8577.00,6.91
2025,6,2025-06-01,114746.40,106228.80,8517.60,8.02
2025,7,2025-07-01,131232.60,138868.20,-7635.60,-5.50
2025,8,2025-08-01,128957.40,132188.40,-3231.00,-2.44
2025,9,2025-09-01,132665.40,116672.40,15993.00,13.71
2025,10,2025-10-01,130451.40,132436.80,-1985.40,-1.50
2025,11,2025-11-01,119777.40,122072.40,-2295.00,-1.88
2025,12,2025-12-01,129648.60,128496.60,1152.00,0.90
